Name,z,α,logFλ,logλLλ,Line,FWHM,logMBH,logL/LEdd
PKS0000-177,1.465,-1.05,-15.67,45.94,MgII,6857,9.71,-1.16
Q0040-3731,1.780,-0.92,-14.93,46.55,CIV,2561,9.16,-0.13
SGP2:36,1.756,-1.52,-16.42,45.03,CIV,6123,9.13,-1.62
SGP5:46,0.955,-0.74,-16.13,45.02,MgII,3873,8.77,-1.14
0054+144,0.171,-1.38,-15.84,43.82,Hβ,8220,8.73,-2.04
SGP4:39,1.716,-1.33,-16.16,45.27,CIV,1852,8.12,-0.37
PKS0100-270,1.597,-1.57,-15.24,46.46,MgII,3539,9.37,-0.30
LBQS0100+0205,0.393,-1.48,-14.69,45.20,CIV,3966,8.85,-1.17
0110+297,0.363,-2.36,-15.57,44.81,Hβ,6149,9.13,-1.45
PKS0113-283,2.555,-1.10,-15.36,46.50,CIV,8014,10.18,-1.20
0119-370,1.320,-1.01,-16.22,45.29,MgII,10178,9.74,-1.84
0133+207,0.425,-1.63,-14.68,45.27,CIV,4478,9.00,-1.25
-2.37,-15.57,44.96,Hβ,8845,9.55,-1.72
3C48,0.367,-1.80,-14.83,45.55,Hβ,4011,9.24,-0.82
HB890137+012,0.260,-0.90,-14.99,44.49,CIV,6778,8.93,-1.96
0152-4055,1.650,-0.91,-15.91,45.83,MgII,4664,9.32,-0.86
PKS0155-495,1.298,-1.71,-15.92,45.56,MgII,4511,9.16,-0.99
PKS0159-11,0.669,-1.88,-14.58,46.19,MgII,3703,9.29,-0.49
B0204+2916,0.109,-0.81,-14.81,44.40,Hβ,8964,9.18,-1.91
0244+194,0.176,-2.78,-14.77,44.90,Hβ,4675,8.94,-1.17
KUV03086-0447,0.755,-0.99,-14.84,46.06,MgII,2771,8.97,-0.30
MZZ01558,1.829,-0.66,-16.19,45.31,CIV,8012,9.53,-1.74
US3828,0.515,-4.07,-14.82,45.68,MgII,4066,9.13,-0.84
Q0335-3546,1.841,-1.43,-15.76,45.75,CIV,3452,9.01,-0.78
PKS0348-120,1.520,-1.80,-15.72,45.93,MgII,5044,9.43,-0.89
PKS0349-14,0.614,-1.50,-14.36,46.32,MgII,8442,10.07,-1.14
PKS0402-362,1.417,-0.83,-15.17,46.41,MgII,4251,9.50,-0.48
PKS0403-132,0.571,-2.53,-14.96,45.65,MgII,3709,9.04,-0.78
PKS0405-123,0.574,-1.72,-13.83,46.79,MgII,6572,10.07,-0.67
PKS0414-06,0.773,1.24,-14.75,46.18,MgII,12790,10.36,-1.57
PKS0420-014,0.915,-0.36,-14.97,46.13,MgII,3601,9.24,-0.50
PKS0440-00,0.607,-0.83,-15.17,45.50,MgII,5129,9.25,-1.14
0624+6907,0.370,-1.08,-13.45,46.38,CIV,3583,9.42,-0.56
-3.04,-14.28,46.12,Hβ,3631,9.53,-0.54
PKS0710+11,0.768,-2.92,-14.74,46.18,MgII,8339,9.99,-1.20
MS0824.2+0327,1.431,-1.57,-15.82,45.76,MgII,2748,8.81,-0.44
MS08287+6614,0.610,-0.74,-15.19,45.49,MgII,5773,9.35,-1.25
PKS0838+13,0.684,-0.37,-16.02,44.78,MgII,3840,8.66,-1.27
US1867,0.513,-1.03,-14.38,45.77,CIV,4222,9.22,-0.97
-2.08,-15.29,45.44,Hβ,2279,8.69,-0.38
0903+169,0.411,-1.29,-14.97,44.96,CIV,4989,8.92,-1.48
TON392,0.654,-1.23,-14.46,46.29,MgII,4905,9.58,-0.68
MS09441+1333,0.131,-1.84,-14.83,44.59,Hβ,3230,8.40,-0.94
0953+415,0.234,-3.07,-14.32,45.63,Hβ,3606,9.19,-0.69
1001+291,0.330,-2.38,-15.11,45.18,Hβ,1977,8.33,-0.28
-1.21,-13.85,45.86,CIV,3072,9.00,-0.66
1004+130,0.240,-1.99,-14.67,45.32,Hβ,6010,9.45,-1.26
Z101733-0203,1.343,-1.12,-16.90,44.61,MgII,3219,8.41,-1.19
PKS1015-31,1.346,1.50,-16.02,45.50,MgII,5112,9.24,-1.13
PKS1018-42,1.280,-0.64,-15.38,46.09,MgII,4353,9.37,-0.67
1058+110,0.423,-2.03,-15.88,44.65,Hβ,7460,9.20,-1.68
1100+772,0.315,-2.46,-14.38,45.86,Hβ,6980,9.94,-1.21
1116+215,0.177,-2.39,-14.05,45.62,Hβ,2671,8.90,-0.41
1150+497,0.334,-1.49,-14.41,45.30,CIV,3966,8.91,-1.13
-1.86,-15.61,44.69,Hβ,3868,8.65,-1.09
1202+281,0.165,-1.00,-14.54,44.49,CIV,2560,8.09,-1.12
-2.38,-14.97,44.64,Hβ,5186,8.86,-1.35
1208+322,0.388,-2.06,-15.23,45.20,Hβ,5279,9.26,-1.19
1216+069,0.331,-1.33,-13.86,45.86,CIV,2560,8.84,-0.50
MRK0205,0.071,-1.32,-13.56,44.76,CIV,2944,8.36,-1.12
-1.19,-14.29,44.61,Hβ,3277,8.45,-0.97
1222+125,0.415,-2.05,-15.56,44.94,Hβ,7529,9.40,-1.59
3C273,0.158,-1.25,-12.89,46.09,CIV,3199,9.16,-0.59
1230+097,0.415,1.38,-14.21,45.73,CIV,3327,8.99,-0.78
-2.17,-15.21,45.30,Hβ,4765,9.24,-1.07
Z124029-0010,2.030,-0.87,-15.74,45.87,CIV,6529,9.65,-1.30
PG1302-102,0.286,-0.96,-13.35,46.21,CIV,3966,9.41,-0.72
1307+085,0.155,-1.71,-14.20,45.35,Hβ,3494,9.00,-0.78
-0.95,-13.90,45.07,CIV,3327,8.63,-1.08
1309+355,0.184,-1.12,-13.84,45.30,CIV,3199,8.73,-0.95
-2.21,-15.07,44.64,Hβ,4434,8.72,-1.21
Z133136-0002,2.710,-0.68,-16.08,45.84,CIV,6027,9.57,-1.25
1402+436,0.320,-1.14,-15.74,44.52,Hβ,2763,8.25,-0.86
PG1416-129,0.129,-1.78,-14.18,44.60,CIV,3838,8.50,-1.42
1425+267,0.366,-1.24,-14.27,45.54,CIV,8057,9.66,-1.64
-2.80,-15.17,45.21,Hβ,8090,9.64,-1.56
Z143220-0215,2.476,-1.41,-16.15,45.67,CIV,5729,9.43,-1.28
Z144022-0122,2.244,-1.01,-15.95,45.77,CIV,6225,9.55,-1.30
1444+407,0.267,-2.26,-15.95,44.11,Hβ,2694,7.96,-0.98
-1.40,-13.74,45.74,CIV,5117,9.38,-1.16
PKSJ1511-10,1.513,-1.56,-15.71,45.93,MgII,4662,9.36,-0.82
1512+37,0.371,-1.86,-14.00,45.82,CIV,3966,9.20,-0.90
-1.96,-15.30,45.10,Hβ,8910,9.65,-1.68
PKS1524-13,1.687,-2.05,-15.28,46.13,CIV,4778,9.52,-0.91
1549+203,0.250,-2.28,-15.14,44.88,Hβ,1880,8.06,-0.31
3C323.1,0.266,-2.05,-15.47,44.60,Hβ,4734,8.76,-1.29
-1.39,-14.09,45.40,CIV,4222,9.02,-1.14
HS1623+7313,0.621,-1.50,-15.41,45.29,MgII,3783,8.88,-0.98
1635+119,0.146,-1.38,-15.04,44.46,Hβ,5704,8.83,-1.50
3C345,0.594,-0.84,-15.73,45.15,Hβ,3938,8.98,-0.96
-0.78,-14.32,45.98,CIV,4350,9.37,-0.91
3C351,0.372,-1.18,-13.88,45.95,CIV,5117,9.49,-1.06
-1.69,-15.71,44.69,Hβ,9256,9.41,-1.85
