ID,JPAS,RAdegDEdeg,z,rmag,logLX,logNH
aegis_008,2241-16682,214.59552.452,0.281,17.825,,20.0
aegis_019,2241-15772,214.61052.472,0.681,23.144,42.86,20.0
aegis_021,2241-19043,214.42452.473,1.148,21.878,44.28,22.0
aegis_022,2241-15294,214.62652.478,1.993,22.062,43.56,22.7
aegis_026,2241-14038,214.67952.489,1.083,22.028,43.35,20.0
aegis_029,2241-15867,214.56852.495,1.605,20.215,44.11,20.0
aegis_032,2241-17939,214.43952.498,0.873,22.884,43.19,23.7
aegis_035,2241-12772,214.75552.506,0.238,19.478,42.48,21.0
aegis_036,2241-19320,214.35352.507,0.482,20.143,43.37,20.0
aegis_037,2241-18457,214.40052.508,0.987,20.426,44.59,20.0
aegis_038,2241-17609,214.44252.509,0.985,23.199,43.87,22.7
aegis_040,2241-13475,214.67552.510,1.307,20.357,43.72,22.7
aegis_043,2241-19587,214.32852.514,0.012,21.504,,21.7
aegis_044,2241-18160,214.39352.519,0.271,19.667,,20.0
aegis_050,2241-12925,214.29852.526,0.835,22.940,,20.0
aegis_055,2241-18670,214.34652.529,0.465,21.470,42.71,21.0
aegis_058,2241-18615,214.34852.532,0.484,21.470,42.87,20.0
aegis_061,2241-17875,214.38652.534,0.986,23.585,43.60,20.0
aegis_062,2241-12083,214.74552.536,0.757,21.788,43.10,20.0
aegis_069,2241-18224,214.35152.542,0.902,23.397,42.54,22.0
aegis_073,2241-13294,214.65352.546,0.249,18.985,41.16,22.7
aegis_086,2241-16916,214.39152.564,0.551,21.287,42.92,22.0
aegis_105,2241-16543,214.38552.578,0.465,20.090,,20.0
aegis_107,2241-15143,214.47452.580,0.719,22.682,43.35,23.7
aegis_112,2241-10924,214.64952.584,1.038,23.052,43.09,23.7
aegis_120,2241-14254,214.50852.587,1.493,19.880,44.04,20.0
aegis_138,2241-13492,214.52852.598,0.204,19.972,,20.0
aegis_140,2241-20715,214.71552.600,0.986,22.029,43.53,20.0
aegis_146,2243-00709,214.66552.603,0.830,21.652,42.77,20.0
aegis_150,2241-18181,214.24652.605,1.020,22.246,43.92,23.0
aegis_159,2241-18721,214.21052.609,0.642,21.349,42.93,20.0
aegis_165,2241-11097,214.67652.612,2.119,21.695,43.99,20.0
aegis_169,2241-14867,214.42152.616,0.684,22.724,42.02,22.7
aegis_172,2243-02285,214.75852.619,0.953,23.109,,20.0
aegis_185,2241-13331,214.52152.625,1.057,22.441,43.79,22.7
aegis_192,2241-13263,214.51952.629,1.085,21.022,43.95,20.0
aegis_202,2241-15615,214.34952.635,1.514,20.876,43.95,20.0
aegis_208,2241-16462,214.29452.637,0.592,21.584,42.57,21.7
aegis_214,2241-12985,214.52652.644,0.204,20.515,,20.0
aegis_215,2243-02988,214.76052.646,0.583,21.718,42.45,23.0
aegis_217,2241-14404,214.39752.648,1.955,20.330,44.86,20.0
aegis_220,2243-03318,214.77752.649,0.709,23.411,42.71,20.0
aegis_227,2241-20094,214.65252.656,0.548,21.271,42.18,23.0
aegis_240,2241-20402,214.62352.663,0.570,20.584,,20.0
aegis_246,2243-03873,214.78852.666,0.264,20.177,42.31,23.0
aegis_248,2243-04557,214.83652.666,0.488,21.534,42.47,20.0
aegis_251,2243-03226,214.73852.667,1.280,23.208,43.26,20.0
aegis_254,2241-20770,214.59752.668,1.767,21.427,44.49,20.0
aegis_255,2241-20077,214.63352.668,0.570,22.898,41.90,23.0
aegis_261,2243-04755,214.84652.670,0.734,21.522,43.37,20.0
