ID,logMstar,logMstar_err,SFR,SFR_err,logMBH,logMBH_err,logLAGN,logLAGN_err,BHAR,logEdd
aegis_019,10.00,0.17,8.08,1.62,,,42.87,0.15,,
aegis_021,11.47,0.35,132.40,54.88,,,46.23,0.12,,
aegis_022,11.11,0.27,152.37,90.29,,,45.22,0.05,,
aegis_026,10.45,0.10,9.87,1.66,7.45,7.96,44.98,0.05,0.17,-0.58
aegis_029,11.40,0.32,89.45,41.91,8.48,0.18,45.64,0.05,0.78,-0.95
aegis_032,10.87,0.06,4.01,0.53,,,45.32,0.17,,
aegis_035,10.19,0.05,0.83,0.07,7.77,0.38,43.20,0.79,0.06,-2.69
aegis_036,10.82,0.21,5.32,1.89,8.48,0.01,44.50,0.05,0.62,-2.09
aegis_037,10.69,0.27,46.49,9.04,7.78,0.17,45.07,0.05,0.21,-0.82
aegis_038,11.12,0.24,33.05,9.11,,,45.53,0.33,,
aegis_040,11.29,0.26,45.62,41.45,8.93,0.20,45.31,0.05,2.65,-1.73
aegis_044,10.48,0.07,0.05,0.01,,,41.58,0.56,,
aegis_050,10.72,0.07,3.37,1.06,,,43.38,1.23,,
aegis_055,10.36,0.29,0.90,0.44,,,43.34,0.14,,
aegis_058,10.13,0.16,5.64,1.05,7.67,0.04,43.59,0.05,0.09,-2.19
aegis_061,11.18,0.05,0.30,0.47,,,44.28,0.59,,
aegis_062,11.06,0.09,1.18,3.72,7.66,0.24,43.97,0.08,0.13,-1.80
aegis_069,10.48,0.17,21.33,4.65,,,43.73,1.16,,
aegis_073,10.88,0.05,5.19,0.26,,,42.90,0.05,,
aegis_086,10.58,0.15,2.26,0.50,,,43.54,0.36,,
aegis_105,10.41,0.10,13.84,0.69,,,42.75,0.15,,
aegis_107,10.48,0.16,1.88,0.33,,,44.24,0.27,,
aegis_120,10.99,0.12,602.01,127.31,8.44,0.17,45.38,0.38,0.42,-1.18
aegis_138,9.43,0.17,0.25,0.02,,,41.25,0.16,,
aegis_140,11.09,0.29,6.53,1.94,,,44.52,0.77,,
aegis_146,10.70,0.15,12.59,4.97,,,43.85,0.37,,
aegis_150,10.74,0.11,25.71,4.28,,,44.70,0.27,,
aegis_159,10.63,0.05,2.66,0.13,,,44.14,0.06,,
aegis_165,10.75,0.51,128.92,49.78,8.81,0.42,45.32,0.07,2.34,-1.60
aegis_169,10.45,0.21,11.51,2.78,,,42.93,0.32,,
aegis_185,10.29,0.21,16.44,0.94,,,44.21,0.55,,
aegis_192,11.04,0.29,27.51,17.48,8.52,0.17,44.84,0.05,0.97,-1.79
aegis_202,11.27,0.25,10.72,4.78,8.84,0.21,45.19,0.13,2.07,-1.77
aegis_208,10.62,0.11,2.37,0.50,,,43.36,0.18,,
aegis_215,10.68,0.19,2.09,0.74,,,43.31,1.07,,
aegis_217,10.92,0.48,55.24,42.42,9.12,0.46,45.74,0.05,0.96,-1.50
aegis_220,10.16,0.30,3.36,1.54,,,43.47,0.34,,
aegis_227,10.71,0.05,3.21,0.25,,,43.20,1.03,,
aegis_240,11.40,0.05,0.01,0.00,,,42.30,0.61,,
aegis_248,10.32,0.12,3.18,1.05,,,43.09,0.83,,
aegis_251,10.96,0.05,10.11,0.51,,,44.68,0.63,,
aegis_254,11.03,0.41,59.38,46.23,8.11,0.44,45.25,0.06,0.31,-0.97
aegis_255,10.39,0.05,0.00,0.02,,,42.20,1.02,,
aegis_261,10.46,0.05,1.81,0.09,,,44.08,0.05,,
aegis_264,10.30,0.16,13.19,1.35,8.05,2.36,42.90,0.06,0.06,-3.27
aegis_267,10.79,0.05,20.67,1.03,,,44.81,0.05,,
