ID,RAh,RAm,RAs,Dd,Dm,Ds,z,logL1p4GHz,logL1p4GHz_err,logLdust,logMstar,SFR_upper,logSFR,WISEclass,AGNtype,Name
16,02,23,34.94,-06,37,22.99,1.216630,33.65,0.00,11.48,10.40,F,1.51,AGN,RadioSource,SDSSJ022334.90-063722.9
49,02,16,40.74,-04,44,04.97,0.875260,33.51,0.00,13.65,11.95,T,3.68,AGN,QSO,FBQSJ0216-0444
52,02,19,38.89,-05,18,05.28,2.206710,32.65,0.04,12.34,11.73,T,2.37,AGN,QSO,3XMMJ021938.8-051805
60,02,19,54.63,-05,49,22.32,0.322160,30.63,0.05,9.08,10.54,F,-0.89,AGN,QSO,SDSSJ021954.62-054922.2
62,02,22,47.91,-04,33,31.02,1.635180,32.59,0.02,12.43,11.02,T,2.46,AGN,QSO,XXL-N027_020
79,02,22,55.95,-05,18,15.85,1.756110,34.63,0.00,12.32,11.48,T,2.35,AGN,QSO,PKS0220-055
81,02,26,07.42,-05,32,09.52,0.778955,32.30,0.01,11.53,10.76,F,1.56,IntermediateDisk,X-raysource,XXL-N062_013
82,02,25,56.39,-05,34,51.44,2.879250,33.68,0.01,12.75,11.25,T,2.78,AGN,QSO,XXL-N062_009
83,02,25,05.12,-05,36,47.94,0.682250,33.60,0.00,9.58,11.11,F,-0.39,IntermediateDisk,QSO,PMNJ0225-0536
104,02,27,12.99,-04,46,36.36,0.981480,32.32,0.01,12.62,11.15,T,2.65,AGN,X-raysource,SPIRE13430
113,02,45,31.51,-00,26,12.32,2.081950,32.83,0.02,12.52,11.75,T,2.55,AGN,QSO,SLAQJ024531.53-002612.2
151,02,27,40.56,-04,02,51.16,2.602710,32.42,0.07,13.69,11.54,T,3.72,AGN,QSO,XXL-N044_070
159,02,29,15.79,-04,42,15.95,1.077440,34.12,0.00,12.29,10.68,T,1.32,AGN,QSO,3XMMJ022915.7-044216
177,02,51,56.32,+00,57,06.53,0.470639,31.80,0.01,11.74,10.45,T,1.77,AGN,QSO,LBQS0249+0044
190,02,51,15.50,+00,31,35.45,1.977990,33.94,0.00,12.02,11.49,T,2.06,AGN,QSO,WISEAJ025115.50+003135.4
195,02,47,06.66,+00,23,18.10,0.363318,30.85,0.03,11.67,10.94,T,1.70,AGN,QSO,FBQSJ0247+0023
197,02,46,16.61,+00,19,53.11,3.791340,33.43,0.02,11.61,11.11,F,1.64,Starburst/LIRG,QSO,SDSSJ024616.60+001953.6
205,02,53,40.94,+00,11,10.04,1.682920,33.04,0.01,12.73,11.23,T,2.76,AGN,QSO,LBQS0251-0001
206,02,48,54.80,+00,10,53.84,1.145420,33.49,0.00,12.92,11.05,T,2.96,AGN,QSO,2SLAQJ024854.80+001053.9
