ObjectID,Redshift,logMBH,logMBHerr,logLbol,logMstellar,logMstellar_l,logMstellar_u,Instrument,Line

cid_0036,1.826,9.38,0.06,45.63,12.18,0.04,0.00,DEIMOS,MgII
cid_0061,1.478,8.62,0.00,45.38,11.48,0.15,0.00,DEIMOS,MgII
cid_0066,1.512,8.45,0.03,45.77,11.21,0.01,0.24,DEIMOS,MgII
cid_0069,0.979,8.42,0.78,45.68,11.22,0.06,0.19,DEIMOS,MgII
cid_0070,1.638,8.85,0.11,45.28,11.59,0.03,0.16,DEIMOS,MgII
cid_0087,1.606,8.77,0.11,46.69,11.61,0.00,0.09,DEIMOS,MgII
cid_0098,1.506,7.74,0.05,45.59,10.79,0.64,0.40,DEIMOS,MgII
cid_0102,1.847,8.75,0.23,45.81,11.09,0.28,0.14,DEIMOS,MgII
cid_0103,1.431,8.26,0.08,45.63,11.03,0.12,0.16,DEIMOS,MgII
cid_0110,0.729,7.90,0.15,45.02,10.84,0.31,0.34,FMOS,Halpha
cid_0120,1.002,7.47,0.06,45.18,10.67,0.55,0.22,FMOS,Halpha
cid_0142,0.699,8.43,0.16,45.50,11.25,2.84,0.00,DEIMOS,Hbeta
cid_0157,1.333,8.56,0.39,45.46,11.25,0.00,0.21,DEIMOS,MgII
cid_0162,2.459,9.20,0.32,46.10,10.95,0.00,0.12,FMOS,Hbeta
cid_0175,1.627,8.47,0.77,45.51,11.09,0.03,0.18,DEIMOS,MgII
cid_0179,1.850,8.80,0.01,46.40,11.61,0.20,0.08,DEIMOS,MgII
cid_0307,2.051,8.92,0.06,45.94,11.57,0.13,0.07,DEIMOS,MgII
cid_0340,2.188,8.75,0.08,45.66,11.13,0.38,0.23,DEIMOS,MgII
cid_0346,2.211,9.53,0.29,45.96,11.90,0.04,0.00,DEIMOS,MgII
cid_0356,1.034,8.27,0.07,45.12,11.11,0.16,0.08,FMOS,Halpha
cid_0358,0.372,8.32,0.11,45.61,10.66,1.17,0.00,DEIMOS,Halpha
cid_0369,1.172,8.66,0.18,45.32,11.05,0.12,0.36,DEIMOS,MgII
cid_0389,1.537,9.13,0.32,45.23,11.13,0.26,0.12,FMOS,Halpha
cid_0395,2.175,9.50,0.18,46.29,11.71,0.11,0.21,DEIMOS,MgII
cid_0399,2.177,9.24,0.11,45.96,11.80,0.03,0.00,DEIMOS,MgII
cid_0438,1.650,8.74,0.13,45.96,11.40,0.10,0.00,DEIMOS,MgII
cid_0452,1.406,8.57,0.29,45.79,11.07,0.92,0.00,DEIMOS,MgII
cid_0454,1.478,8.71,0.23,45.55,11.52,0.19,0.00,DEIMOS,MgII
cid_0467,2.286,9.56,0.01,46.59,12.28,0.29,0.00,DEIMOS,MgII
cid_0481,2.283,8.72,0.01,45.68,11.22,0.06,0.12,DEIMOS,MgII
cid_0492,0.967,9.06,0.10,45.87,11.34,0.07,0.17,FMOS,Halpha
cid_0495,2.015,9.40,0.00,45.55,11.52,0.00,0.00,DEIMOS,MgII
cid_0510,1.131,8.36,0.11,45.65,11.72,0.00,0.14,DEIMOS,MgII
cid_0512,1.516,8.41,0.06,45.98,11.99,0.09,0.06,FMOS,Halpha
cid_0513,1.122,9.10,0.02,46.37,11.80,0.00,0.14,DEIMOS,MgII
cid_0517,2.097,8.45,0.19,45.17,11.51,0.14,0.07,DEIMOS,MgII
cid_0531,1.845,7.85,0.34,45.35,10.87,0.23,0.18,DEIMOS,MgII
cid_0536,0.880,8.66,0.08,45.40,11.00,0.13,0.14,FMOS,Halpha
cid_0543,1.298,8.68,0.59,45.03,11.03,0.07,0.23,DEIMOS,MgII
cid_0548,1.639,8.73,0.09,45.74,11.31,0.17,0.04,DEIMOS,MgII
cid_0556,1.607,8.34,0.03,45.75,10.99,0.03,0.03,DEIMOS,MgII
cid_0566,1.458,8.87,0.10,45.84,10.99,0.38,0.06,DEIMOS,MgII
cid_0596,1.836,8.55,0.08,45.88,11.43,0.07,0.02,DEIMOS,MgII
cid_0599,1.081,8.62,0.12,45.01,11.19,0.30,0.01,DEIMOS,MgII
cid_0604,1.343,8.60,0.04,45.60,11.49,0.04,0.06,DEIMOS,MgII
cid_0632,0.825,7.70,0.04,45.42,10.49,0.25,0.01,FMOS,Halpha
cid_0642,1.369,8.58,0.09,45.39,11.33,0.02,0.09,DEIMOS,MgII
cid_0644,0.986,8.39,0.08,45.37,11.47,0.54,0.00,FMOS,Halpha
cid_0807,1.796,8.03,0.04,45.07,10.96,0.01,0.22,DEIMOS,MgII
cid_0864,1.617,8.47,0.06,44.79,11.47,0.03,0.00,DEIMOS,MgII
cid_0925,1.817,8.72,0.14,45.41,11.78,0.00,0.03,DEIMOS,MgII
cid_0933,2.492,8.25,0.13,45.74,11.13,0.47,0.15,FMOS,Hbeta
cid_0958,1.869,7.88,0.07,45.28,10.70,0.71,0.22,DEIMOS,MgII
cid_0997,1.998,8.85,0.00,45.76,11.94,1.10,0.00,DEIMOS,MgII
cid_1031,1.358,8.20,0.07,45.05,11.04,0.18,0.07,DEIMOS,MgII
cid_1044,1.566,8.79,0.02,46.28,11.77,0.13,0.11,FMOS,Halpha
cid_1104,2.218,7.77,0.32,45.18,10.76,1.35,0.00,DEIMOS,MgII
cid_1109,1.827,8.09,0.00,45.60,10.93,0.28,0.01,DEIMOS,MgII
cid_1141,1.661,8.56,0.13,44.97,11.13,0.98,0.07,FMOS,Halpha
cid_1167,1.855,8.73,0.06,44.65,11.17,0.20,0.02,DEIMOS,MgII
cid_1170,1.814,8.09,0.65,44.97,11.44,0.44,0.00,DEIMOS,MgII
cid_1174,0.088,5.85,0.01,45.58,8.01,0.00,0.00,DEIMOS,Halpha
cid_1222,1.759,7.75,0.01,45.26,10.83,0.09,0.00,DEIMOS,MgII
cid_1281,1.444,8.55,0.93,45.16,10.25,0.55,0.27,DEIMOS,MgII
